FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;4;2;11;11;U;156;46,95;46;107,34;470864,08
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;4;2;11;33;KG;161;164,33;161;651,25;2856812,32
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;6;2;11;11;U;4325;239,88;225;1384;5855164,24
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;6;2;11;11;U;3340;401,88;377;1563,5;6614558,73
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;6;2;11;33;KG;169;180,16;169;931,2;3939544,02
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;13566;749,82;727,62;5148,46;21823549,66
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;564;31,17;30,25;214,05;907325,84
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;377;20,83;20,22;143,08;606494,65
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;1317;72,79;70,63;499,82;2118662
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;752;41,56;40,33;285,4;1209767,79
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;376;20,78;20,16;142,7;604883,89
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;29025;1604,2;1556,71;11015,32;46692289,08
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;90,96;93,74;90,96;643,65;2728335,8
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;30;38,6;30;87,7;361378,37
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;33;KG;120;154,4;120;313,92;1293545,03
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;24;11;6,5;387,66;1636464,04
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;344;68,36;65,32;5766,12;24341041,29
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;75;17;10;2378;10038465,42
2310;3;27;ABW;3;BOG;11;0;580;1;198;1;8;2;11;11;U;347;88,62;84,68;7476,2;31559955,91
2310;3;27;ABW;3;BOG;11;0;580;1;2;2;8;2;11;11;U;41;204;182,48;205;858337,05
2310;3;27;ABW;3;BOG;11;0;580;1;2;2;8;2;11;11;U;8;7;6;18;75985,02
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;4591;282,6;274,01;1390,65;6100308,72
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;200;12,31;11,93;60,58;265743,86
2310;3;27;ABW;3;BOG;11;9;249;1;198;1;8;2;11;11;U;998;61,43;59,56;302,3;1326087,31
