FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;11;U;710;18,41;18;213;839865,39
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;11;U;360;17,39;17;72;283898,16
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;11;U;370;60,35;59;358,25;1412590,49
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;11;U;1718;96,12;94;1215,67;4793423,26
2312;3;27;ABW;3;BOG;25;0;580;1;198;1;8;2;25;33;KG;198;202,53;198;2402,98;9475022,22
2312;3;27;ABW;3;BOG;25;9;239;1;198;1;8;2;25;33;KG;40;43,01;40;81,66;322437,77
2312;3;27;ABW;3;BOG;25;9;239;1;198;1;8;2;25;33;KG;35;37,64;35;79,07;312211,05
2312;3;27;ABW;3;BOG;25;9;239;1;198;1;8;2;25;33;KG;84;90,33;84;182,87;722069,5
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;90;95,88;90;183,49;714356,74
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;70;74,59;70;157,95;615471,33
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;25;33;KG;204;217,5;204;443,66;1732284,5
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;11;33;KG;187,5;263,05;187,5;717;2860507,35
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;11;33;KG;3;4,2;3;31,98;127585,8
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;11;33;KG;78,9;110,69;78,9;416,3;1660849,66
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;11;33;KG;10;14,02;10;53,8;214637,79
2312;3;27;ABW;3;BOG;25;9;249;1;198;1;8;2;11;33;KG;1570,95;2203,97;1570,95;7530,02;30041391,26
2312;3;27;ABW;3;BOG;25;9;249;1;199;1;8;2;25;33;KG;30;32,29;30;61,44;245199,66
2312;3;27;ABW;3;BOG;25;9;249;1;199;1;8;2;25;33;KG;30;32,29;30;67,99;271339,93
2312;3;27;ABW;3;BOG;25;9;249;1;199;1;8;2;25;33;KG;84;90,41;84;183,47;732206,75
2312;3;27;ABW;3;BOG;68;7;27;1;198;1;8;2;68;67;M3;447,3;248124,97;248124,97;345412,75;1356311290
2312;3;29;BIH;3;BOG;25;8;618;1;198;1;8;1;25;11;U;1600;50;20;272;1087975,52
2312;3;29;BIH;3;BOG;25;9;169;1;198;1;8;2;25;11;U;32960;382,8;348;9098;36378443,98
2312;3;29;BIH;3;BOG;25;9;169;1;198;1;8;2;25;11;U;9900;101,2;92;1188;4750229,88
2312;3;40;AGO;3;BOG;11;3;23;1;198;1;8;2;11;11;U;1;50;48,54;1608,27;6404935,27
2312;3;40;AGO;3;BOG;11;7;827;1;104;2;8;2;5;11;U;40;98;91,68;1474;5893803,74
2312;3;41;AIA;3;BOG;68;1;41;1;198;1;8;2;68;67;M3;1,8;1064,01;1064,01;1481,21;5734430,45
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;6;3,78;3,22;657,48;2601490,56
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;10;6,3;5,37;1791,32;7087823,32
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;259;163,33;139,21;17824,8;70528455,64
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;396;249,72;212,84;10396,44;41136217,93
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;12;7,56;6,45;1322,6;5233210,77
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;12;7,56;6,45;1308,84;5178765,75
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;11;U;210;132,43;112,87;3872,7;15323344,45
2312;3;43;ATG;3;BOG;11;9;249;1;198;1;8;2;11;19;2U;276;174,05;148,35;9199,2;36399026,59
2312;3;53;SAU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;11;11;9,92;3044;12044377,44
2312;3;53;SAU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;2;1,99;1,8;736;2912175,36
2312;3;53;SAU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;7;6,99;6,31;2372;9385434,72
2312;3;53;SAU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;3;2,99;2,7;744;2943829,44
2312;3;53;SAU;3;BOG;5;3;23;1;198;1;8;2;5;11;U;3;3;2,71;588;2326574,88
2312;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;210;15;12;21;82224,03
2312;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;5500;139,78;119;859,98;3367191,49
2312;3;53;SAU;3;BOG;5;8;618;1;198;1;8;2;5;11;U;30001;4911,05;4322;24099,07;95375674,96
