ADUA,COD_PAI4,CANTI,FOBDOL,FOBPES
3,BOL,9,45,177171
3,BOL,68,1418,5608945
3,BOL,262,15668,61993408
3,BOL,276,13540,53574689
3,BOL,10,95,373176
3,BOL,1,27,107545
3,BOL,10,361,1428232
3,BOL,888,116867,462415225
3,BOL,319,7057,27632286
3,BOL,32,1120,4431571
3,BOL,367,5276,20848567
3,BOL,292,6095,24115186
3,BOL,1,36,143016
3,BOL,117,2440,9653307
3,BOL,16,1522,6014571
3,BOL,2,36,142345
3,BOL,5,278,1095917
3,BOL,58,2073,8025709
3,BOL,33,405,1600106
3,BOL,518,3851,14718715
3,BOL,25,2450,9910789
3,BOL,20,15638,63259150
3,BOL,21,2163,8749811
3,BOL,1207,9358,37276190
3,BOL,300,41661,159230425
3,BOL,322,6133,24181814
3,BOL,166,2867,11305456
3,BOL,9,178,703634
3,BOL,168,7077,27905691
3,BOL,28,432,1702127
3,BOL,1,2410,9502190
3,BOL,100,2272,8958564
3,BOL,8,341,1342838
3,BOL,681,521853,2047628551
3,BOL,132,2748,10759602
3,BOL,20,354,1386062
3,BOL,242,8712,34111226
3,BOL,11230,92531,366032996
3,BOL,210,8972,35481176
3,BOL,779,19356,76320382
3,BOL,15,390,1543335
3,BOL,3244,20564,81260218
3,BOL,56,200,787864
3,BOL,463,1600,6265510
3,BOL,155,886,3489929
3,BOL,299,12018,47329465
3,BOL,41,1029,4034470
3,BOL,18,470,1880198
3,BOL,4409,22325,88024948
3,BOL,637,1887,7416984
3,BOL,661,8612,33804060
3,BOL,1322,5180,20656637
3,BOL,49,572,2283440
3,BOL,11,264,1035240
3,BOL,4,336,1323534
3,BOL,3,86,339626
3,BOL,20,158,631746
3,BOL,50,59,234280
3,BRA,205,1142,4483229
3,BRA,182500,7858,30894755
3,BRA,31,63418,252563181
3,BRA,38725,14824,59638053
3,BRA,8100,963,3874351
3,BRA,21675,7646,29221483
3,BRA,41700,1460,5813407
3,BRA,4300,1272,5054709
3,BRA,31680,3168,12643108
3,BRA,5496,23762,92508140
3,BRA,474,158400,621841968
3,BRA,26100,4327,16942849
3,BRA,20,1992,7932264
3,BRA,2088,8248,32626516
3,BRA,78,213,843394
3,BRA,2400,10311,40790661
3,BRA,3518,10851,42926045
3,BRA,34,1500,5965792
3,BRA,1882,9598,38229039
3,BRA,361000,40853,164360198
3,BRA,584,24628,95346071
3,BRA,2066,87128,337311696
